10.192.43.84, 2016-02-25 18:31:16, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.096088
10.192.43.84, 2016-02-25 18:31:16, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.162745
10.192.43.84, 2016-02-25 18:31:16, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.200496
10.192.43.84, 2016-02-25 18:31:16, GET, /welcome/appadmin/hooks, HTTP/1.1, 200, 0.231795
10.192.43.84, 2016-02-25 18:31:16, GET, /admin/static/_2.13.4/images/save_icon.png, HTTP/1.1, 200, 0.000593
10.192.43.84, 2016-02-25 18:31:16, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.048517
10.192.43.84, 2016-02-25 18:31:20, GET, /admin/default/design/welcome, HTTP/1.1, 200, 0.140477
10.192.43.84, 2016-02-25 18:31:40, GET, /admin/default/design/welcome, HTTP/1.1, 200, 0.124216
10.192.43.84, 2016-02-25 18:33:35, GET, /welcome/default/index, HTTP/1.1, 200, 0.568764
10.192.43.84, 2016-02-25 18:33:38, GET, /examples/default/index, HTTP/1.1, 200, 0.228096
10.192.43.84, 2016-02-25 18:33:38, GET, /examples/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.002297
10.192.43.84, 2016-02-25 18:33:38, GET, /examples/static/js/jquery.js, HTTP/1.1, 200, 0.002427
10.192.43.84, 2016-02-25 18:33:38, GET, /examples/static/css/calendar.css, HTTP/1.1, 200, 0.001129
10.192.43.84, 2016-02-25 18:33:38, GET, /examples/static/js/calendar.js, HTTP/1.1, 200, 0.003153
10.192.43.84, 2016-02-25 18:33:38, GET, /examples/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.002675
10.192.43.84, 2016-02-25 18:33:38, GET, /examples/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.000744
10.192.43.84, 2016-02-25 18:33:38, GET, /examples/static/js/web2py.js, HTTP/1.1, 200, 0.004181
10.192.43.84, 2016-02-25 18:33:38, GET, /examples/static/css/examples.css, HTTP/1.1, 200, 0.003359
10.192.43.84, 2016-02-25 18:33:38, GET, /examples/static/css/web2py_bootstrap.css, HTTP/1.1, 200, 0.001332
10.192.43.84, 2016-02-25 18:33:38, GET, /examples/static/css/web2py.css, HTTP/1.1, 200, 0.004308
10.192.43.84, 2016-02-25 18:33:38, GET, /examples/static/js/web2py_bootstrap.js, HTTP/1.1, 200, 0.001591
10.192.43.84, 2016-02-25 18:33:38, GET, /examples/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.002714
10.192.43.84, 2016-02-25 18:33:38, GET, /examples/static/js/share.js, HTTP/1.1, 200, 0.003817
10.192.43.84, 2016-02-25 18:33:38, GET, /examples/static/images/videos.png, HTTP/1.1, 200, 0.001050
10.192.43.84, 2016-02-25 18:33:38, GET, /examples/static/images/book-5th.png, HTTP/1.1, 200, 0.001957
10.192.43.84, 2016-02-25 18:33:38, GET, /examples/static/images/web2py_logo.png, HTTP/1.1, 200, 0.001236
10.192.43.84, 2016-02-25 18:33:38, GET, /examples/static/images/book-recipes.png, HTTP/1.1, 200, 0.001569
10.192.43.84, 2016-02-25 18:33:38, GET, /examples/static/images/questions.png, HTTP/1.1, 200, 0.001363
10.192.43.84, 2016-02-25 18:33:38, GET, /examples/static/images/infoworld2012.jpeg, HTTP/1.1, 200, 0.003982
10.192.43.84, 2016-02-25 18:33:38, GET, /examples/static/images/shadow-bottom.png, HTTP/1.1, 200, 0.002862
10.192.43.84, 2016-02-25 18:33:38, GET, /examples/static/images/favicon.ico, HTTP/1.1, 200, 0.001219
10.192.43.84, 2016-02-25 18:33:38, GET, /examples/static/images/stripes.png, HTTP/1.1, 200, 0.000991
10.192.43.84, 2016-02-25 18:33:39, GET, /examples/static/images/twitter.png, HTTP/1.1, 200, 0.002928
10.192.43.84, 2016-02-25 18:33:39, GET, /examples/static/images/facebook.png, HTTP/1.1, 200, 0.002153
10.192.43.84, 2016-02-25 18:33:39, GET, /examples/static/images/gplus-32.png, HTTP/1.1, 200, 0.001093
10.192.43.84, 2016-02-25 18:33:55, GET, /examples/default/download, HTTP/1.1, 200, 0.240472
10.192.43.84, 2016-02-25 18:33:55, GET, /examples/static/css/artwork.css, HTTP/1.1, 200, 0.001024
10.192.43.84, 2016-02-25 18:33:55, GET, /examples/static/images/logo_lb.png, HTTP/1.1, 200, 0.001386
10.192.43.84, 2016-02-25 18:33:55, GET, /examples/static/images/Stickers3.png, HTTP/1.1, 200, 0.003404
10.192.43.84, 2016-02-25 18:33:55, GET, /examples/static/images/Stickers1.png, HTTP/1.1, 200, 0.001830
10.192.43.84, 2016-02-25 18:33:55, GET, /examples/static/images/logo_db.png, HTTP/1.1, 200, 0.005188
10.192.43.84, 2016-02-25 18:33:55, GET, /examples/static/images/logo_bw.png, HTTP/1.1, 200, 0.004174
10.192.43.84, 2016-02-25 18:33:55, GET, /examples/static/images/Stickers2.png, HTTP/1.1, 200, 0.003648
10.192.43.84, 2016-02-25 18:33:55, GET, /examples/static/images/Stickers5.png, HTTP/1.1, 200, 0.001749
10.192.43.84, 2016-02-25 18:33:55, GET, /examples/static/images/Stickers4.png, HTTP/1.1, 200, 0.003333
10.192.43.84, 2016-02-25 18:33:55, GET, /examples/static/images/Stickers8.png, HTTP/1.1, 200, 0.002852
10.192.43.84, 2016-02-25 18:33:55, GET, /examples/static/images/Stickers7.png, HTTP/1.1, 200, 0.002492
10.192.43.84, 2016-02-25 18:33:55, GET, /examples/static/images/Stickers6.png, HTTP/1.1, 200, 0.001533
10.192.43.84, 2016-02-25 18:34:13, GET, /welcome/default/index, HTTP/1.1, 200, 0.591967
10.192.43.84, 2016-02-25 18:34:59, GET, /courses/list.json, HTTP/1.1, 400, 0.000328
127.0.0.1, 2016-02-25 21:31:18, GET, /, HTTP/1.1, 303, 0.007118
127.0.0.1, 2016-02-25 21:31:18, GET, /welcome/default/index, HTTP/1.1, 200, 0.149046
127.0.0.1, 2016-02-25 21:31:22, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.002448
127.0.0.1, 2016-02-25 21:31:22, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.000861
127.0.0.1, 2016-02-25 21:31:22, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.002677
127.0.0.1, 2016-02-25 21:31:22, GET, /welcome/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.003558
127.0.0.1, 2016-02-25 21:31:22, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.001919
127.0.0.1, 2016-02-25 21:31:22, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.001409
127.0.0.1, 2016-02-25 21:31:22, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.002612
127.0.0.1, 2016-02-25 21:31:22, GET, /welcome/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.002256
127.0.0.1, 2016-02-25 21:31:22, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.001432
127.0.0.1, 2016-02-25 21:31:22, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.003584
127.0.0.1, 2016-02-25 21:31:22, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000512
127.0.0.1, 2016-02-25 21:31:25, GET, /welcome/static/images/background.jpg, HTTP/1.1, 200, 0.001611
127.0.0.1, 2016-02-25 21:31:25, GET, /welcome/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 200, 0.000700
127.0.0.1, 2016-02-25 21:31:25, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.001438
127.0.0.1, 2016-02-25 21:31:25, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.002385
127.0.0.1, 2016-02-25 21:31:25, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.001102
127.0.0.1, 2016-02-25 21:32:02, GET, /admin/default/edit/welcome/controllers/default.py, HTTP/1.1, 200, 0.116107
127.0.0.1, 2016-02-25 21:32:03, GET, /favicon.ico, HTTP/1.1, 400, 0.000375
127.0.0.1, 2016-02-25 21:32:03, GET, /favicon.ico, HTTP/1.1, 400, 0.000307
127.0.0.1, 2016-02-25 21:32:04, GET, /welcome/default/index, HTTP/1.1, 200, 0.022945
127.0.0.1, 2016-02-25 21:32:28, GET, /, HTTP/1.1, 303, 0.003455
127.0.0.1, 2016-02-25 21:32:28, GET, /welcome/default/index, HTTP/1.1, 200, 0.116384
127.0.0.1, 2016-02-25 21:32:34, GET, /admin/default/edit/welcome/models/db.py, HTTP/1.1, 303, 0.096217
127.0.0.1, 2016-02-25 21:32:34, GET, /admin/default/index, HTTP/1.1, 200, 0.048968
127.0.0.1, 2016-02-25 21:32:34, GET, /admin/static/_2.13.4/js/jquery.js, HTTP/1.1, 200, 0.002169
127.0.0.1, 2016-02-25 21:32:34, GET, /admin/static/_2.13.4/css/calendar.css, HTTP/1.1, 200, 0.001476
127.0.0.1, 2016-02-25 21:32:34, GET, /admin/static/_2.13.4/js/calendar.js, HTTP/1.1, 200, 0.003700
127.0.0.1, 2016-02-25 21:32:34, GET, /admin/static/_2.13.4/js/web2py.js, HTTP/1.1, 200, 0.004751
127.0.0.1, 2016-02-25 21:32:34, GET, /admin/static/_2.13.4/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.003058
127.0.0.1, 2016-02-25 21:32:34, GET, /admin/static/_2.13.4/plugin_multiselect/start.js, HTTP/1.1, 200, 0.002765
127.0.0.1, 2016-02-25 21:32:34, GET, /admin/static/_2.13.4/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.001854
127.0.0.1, 2016-02-25 21:32:34, GET, /admin/static/_2.13.4/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.001343
127.0.0.1, 2016-02-25 21:32:34, GET, /admin/static/_2.13.4/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.001904
127.0.0.1, 2016-02-25 21:32:34, GET, /admin/static/_2.13.4/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.002245
127.0.0.1, 2016-02-25 21:32:34, GET, /admin/static/_2.13.4/js/bootstrap.min.js, HTTP/1.1, 200, 0.000629
127.0.0.1, 2016-02-25 21:32:34, GET, /admin/static/_2.13.4/css/bootstrap.min.css, HTTP/1.1, 200, 0.006376
127.0.0.1, 2016-02-25 21:32:34, GET, /admin/static/_2.13.4/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.002638
127.0.0.1, 2016-02-25 21:32:34, GET, /admin/static/_2.13.4/images/questions.png, HTTP/1.1, 200, 0.000674
127.0.0.1, 2016-02-25 21:32:38, POST, /admin/default/index, HTTP/1.1, 303, 0.044924
127.0.0.1, 2016-02-25 21:32:38, GET, /admin/default/edit/welcome/models/db.py, HTTP/1.1, 200, 0.049208
127.0.0.1, 2016-02-25 21:32:38, GET, /admin/static/_2.13.4/codemirror/theme/web2py.css, HTTP/1.1, 200, 0.000708
127.0.0.1, 2016-02-25 21:32:38, GET, /admin/static/_2.13.4/codemirror/lib/codemirror.css, HTTP/1.1, 200, 0.002998
127.0.0.1, 2016-02-25 21:32:38, GET, /admin/static/_2.13.4/codemirror/lib/codemirror.js, HTTP/1.1, 200, 0.001601
127.0.0.1, 2016-02-25 21:32:38, GET, /admin/static/_2.13.4/codemirror/addon/edit/closetag.js, HTTP/1.1, 200, 0.001663
127.0.0.1, 2016-02-25 21:32:38, GET, /admin/static/_2.13.4/codemirror/mode/xml/xml.js, HTTP/1.1, 200, 0.002817
127.0.0.1, 2016-02-25 21:32:38, GET, /admin/static/_2.13.4/codemirror/mode/python/python.js, HTTP/1.1, 200, 0.003200
127.0.0.1, 2016-02-25 21:32:38, GET, /admin/static/_2.13.4/codemirror/addon/edit/matchbrackets.js, HTTP/1.1, 200, 0.004842
127.0.0.1, 2016-02-25 21:32:38, GET, /admin/static/_2.13.4/codemirror/mode/css/css.js, HTTP/1.1, 200, 0.002973
127.0.0.1, 2016-02-25 21:32:38, GET, /admin/static/_2.13.4/codemirror/mode/javascript/javascript.js, HTTP/1.1, 200, 0.000735
127.0.0.1, 2016-02-25 21:32:38, GET, /admin/static/_2.13.4/codemirror/addon/hint/show-hint.js, HTTP/1.1, 200, 0.003134
127.0.0.1, 2016-02-25 21:32:38, GET, /admin/static/_2.13.4/codemirror/addon/hint/python-hint.js, HTTP/1.1, 200, 0.002191
127.0.0.1, 2016-02-25 21:32:38, GET, /admin/static/_2.13.4/codemirror/addon/hint/show-hint.css, HTTP/1.1, 200, 0.003837
127.0.0.1, 2016-02-25 21:32:38, GET, /admin/static/_2.13.4/codemirror/addon/search/search.js, HTTP/1.1, 200, 0.002203
127.0.0.1, 2016-02-25 21:32:38, GET, /admin/static/_2.13.4/codemirror/mode/htmlmixed/htmlmixed.js, HTTP/1.1, 200, 0.002368
127.0.0.1, 2016-02-25 21:32:38, GET, /admin/static/_2.13.4/codemirror/addon/dialog/dialog.js, HTTP/1.1, 200, 0.002811
127.0.0.1, 2016-02-25 21:32:38, GET, /admin/static/_2.13.4/codemirror/addon/edit/trailingspace.js, HTTP/1.1, 200, 0.001609
127.0.0.1, 2016-02-25 21:32:38, GET, /admin/static/_2.13.4/codemirror/addon/dialog/dialog.css, HTTP/1.1, 200, 0.001395
127.0.0.1, 2016-02-25 21:32:38, GET, /admin/static/_2.13.4/codemirror/addon/search/searchcursor.js, HTTP/1.1, 200, 0.003440
127.0.0.1, 2016-02-25 21:32:38, GET, /admin/static/_2.13.4/codemirror/addon/display/fullscreen.js, HTTP/1.1, 200, 0.003302
127.0.0.1, 2016-02-25 21:32:38, GET, /admin/static/_2.13.4/codemirror/addon/selection/active-line.js, HTTP/1.1, 200, 0.001625
127.0.0.1, 2016-02-25 21:32:38, GET, /admin/static/_2.13.4/codemirror/addon/display/fullscreen.css, HTTP/1.1, 200, 0.001009
127.0.0.1, 2016-02-25 21:32:38, GET, /admin/static/_2.13.4/codemirror/addon/fold/foldcode.js, HTTP/1.1, 200, 0.002664
127.0.0.1, 2016-02-25 21:32:38, GET, /admin/static/_2.13.4/codemirror/addon/fold/xml-fold.js, HTTP/1.1, 200, 0.003002
127.0.0.1, 2016-02-25 21:32:38, GET, /admin/static/_2.13.4/codemirror/addon/fold/brace-fold.js, HTTP/1.1, 200, 0.002071
